2024/12/07 22:02:17.718, Quadro RTX 6000, 19668 MiB, 24576 MiB, 73
2024/12/07 22:02:27.759, Quadro RTX 6000, 19673 MiB, 24576 MiB, 66
2024/12/07 22:02:37.809, Quadro RTX 6000, 5566 MiB, 24576 MiB, 64
2024/12/07 22:08:06.108, Quadro RTX 6000, 475 MiB, 24576 MiB, 40
2024/12/07 22:08:16.158, Quadro RTX 6000, 3000 MiB, 24576 MiB, 42
2024/12/07 22:08:26.220, Quadro RTX 6000, 2983 MiB, 24576 MiB, 43
2024/12/07 22:08:36.269, Quadro RTX 6000, 2979 MiB, 24576 MiB, 42
2024/12/07 22:08:46.368, Quadro RTX 6000, 2987 MiB, 24576 MiB, 42
2024/12/07 22:08:56.408, Quadro RTX 6000, 2970 MiB, 24576 MiB, 41
2024/12/07 22:09:06.458, Quadro RTX 6000, 2972 MiB, 24576 MiB, 41
2024/12/07 22:09:16.498, Quadro RTX 6000, 2967 MiB, 24576 MiB, 41
2024/12/07 22:09:26.548, Quadro RTX 6000, 2990 MiB, 24576 MiB, 41
2024/12/07 22:09:36.638, Quadro RTX 6000, 2994 MiB, 24576 MiB, 41
2024/12/07 22:09:46.689, Quadro RTX 6000, 2989 MiB, 24576 MiB, 40
2024/12/07 22:09:56.778, Quadro RTX 6000, 2995 MiB, 24576 MiB, 40
2024/12/07 22:10:06.828, Quadro RTX 6000, 2983 MiB, 24576 MiB, 40
2024/12/07 22:10:16.888, Quadro RTX 6000, 2994 MiB, 24576 MiB, 40
2024/12/07 22:10:26.928, Quadro RTX 6000, 2968 MiB, 24576 MiB, 40
2024/12/07 22:10:36.997, Quadro RTX 6000, 2968 MiB, 24576 MiB, 40
2024/12/07 22:10:47.018, Quadro RTX 6000, 2985 MiB, 24576 MiB, 40
2024/12/07 22:10:57.059, Quadro RTX 6000, 2968 MiB, 24576 MiB, 40
2024/12/07 22:11:07.158, Quadro RTX 6000, 2985 MiB, 24576 MiB, 40
2024/12/07 22:11:17.209, Quadro RTX 6000, 2989 MiB, 24576 MiB, 39
2024/12/07 22:11:27.258, Quadro RTX 6000, 2986 MiB, 24576 MiB, 41
2024/12/07 22:11:37.308, Quadro RTX 6000, 3017 MiB, 24576 MiB, 40
2024/12/07 22:11:47.358, Quadro RTX 6000, 3012 MiB, 24576 MiB, 39
2024/12/07 22:11:57.408, Quadro RTX 6000, 19574 MiB, 24576 MiB, 53
2024/12/07 22:12:07.448, Quadro RTX 6000, 19556 MiB, 24576 MiB, 60
2024/12/07 22:12:17.488, Quadro RTX 6000, 19556 MiB, 24576 MiB, 66
2024/12/07 22:12:27.538, Quadro RTX 6000, 19581 MiB, 24576 MiB, 68
2024/12/07 22:12:37.588, Quadro RTX 6000, 5512 MiB, 24576 MiB, 63
2024/12/07 22:12:47.639, Quadro RTX 6000, 5484 MiB, 24576 MiB, 61
2024/12/07 22:12:57.699, Quadro RTX 6000, 5484 MiB, 24576 MiB, 56
2024/12/07 22:13:07.721, Quadro RTX 6000, 5484 MiB, 24576 MiB, 54
2024/12/07 22:13:17.744, Quadro RTX 6000, 5510 MiB, 24576 MiB, 52
2024/12/07 22:13:27.767, Quadro RTX 6000, 5484 MiB, 24576 MiB, 51
2024/12/07 22:13:37.790, Quadro RTX 6000, 5484 MiB, 24576 MiB, 49
2024/12/07 22:13:47.849, Quadro RTX 6000, 5480 MiB, 24576 MiB, 48
2024/12/07 22:13:57.909, Quadro RTX 6000, 5497 MiB, 24576 MiB, 48
2024/12/07 22:14:07.959, Quadro RTX 6000, 5480 MiB, 24576 MiB, 47
2024/12/07 22:14:18.008, Quadro RTX 6000, 5480 MiB, 24576 MiB, 46
2024/12/07 22:14:28.029, Quadro RTX 6000, 5525 MiB, 24576 MiB, 46
2024/12/07 22:14:38.089, Quadro RTX 6000, 5497 MiB, 24576 MiB, 45
2024/12/07 22:14:48.112, Quadro RTX 6000, 5490 MiB, 24576 MiB, 44
2024/12/07 22:14:58.132, Quadro RTX 6000, 5507 MiB, 24576 MiB, 44
2024/12/07 22:15:08.227, Quadro RTX 6000, 5508 MiB, 24576 MiB, 44
2024/12/07 22:15:18.268, Quadro RTX 6000, 19583 MiB, 24576 MiB, 56
2024/12/07 22:15:28.358, Quadro RTX 6000, 19578 MiB, 24576 MiB, 63
2024/12/07 22:15:38.408, Quadro RTX 6000, 19578 MiB, 24576 MiB, 69
2024/12/07 22:15:48.426, Quadro RTX 6000, 19576 MiB, 24576 MiB, 74
2024/12/07 22:15:58.445, Quadro RTX 6000, 5582 MiB, 24576 MiB, 67
2024/12/07 22:16:08.489, Quadro RTX 6000, 5570 MiB, 24576 MiB, 63
2024/12/07 22:16:18.550, Quadro RTX 6000, 5570 MiB, 24576 MiB, 58
2024/12/07 22:16:28.610, Quadro RTX 6000, 5570 MiB, 24576 MiB, 55
2024/12/07 22:16:38.668, Quadro RTX 6000, 5570 MiB, 24576 MiB, 53
2024/12/07 22:16:48.709, Quadro RTX 6000, 5570 MiB, 24576 MiB, 51
2024/12/07 22:16:58.809, Quadro RTX 6000, 5570 MiB, 24576 MiB, 50
2024/12/07 22:17:08.859, Quadro RTX 6000, 5578 MiB, 24576 MiB, 49
2024/12/07 22:17:18.918, Quadro RTX 6000, 5579 MiB, 24576 MiB, 49
2024/12/07 22:17:28.999, Quadro RTX 6000, 5578 MiB, 24576 MiB, 48
2024/12/07 22:17:39.089, Quadro RTX 6000, 5574 MiB, 24576 MiB, 47
2024/12/07 22:17:49.139, Quadro RTX 6000, 5574 MiB, 24576 MiB, 46
